solver,n,status,num_knights,placement,solve_time,nodes_explored,upper_bound,lower_bound,timestamp,nodes_pruned_bound,nodes_pruned_infeasible,nodes_integer,branch_order,solve_time_std,nodes_std
breadth_first_least_constrained,4,optimal,6,"[5, 6, 13, 9, 3, 7]",0.047674,35,6,5.0,2026-06-02T12:45:33.982695,28,0,4,lp_guided,0.0,0.0
breadth_first_least_constrained,4,optimal,6,"[5, 6, 13, 9, 3, 7]",0.050502,35,6,5.0,2026-06-02T12:45:34.032915,28,0,4,three_way,0.0,0.0
breadth_first_most_coverage,4,optimal,6,"[5, 6, 13, 9, 3, 7]",0.084389,63,6,5.0,2026-06-02T12:45:34.117803,40,0,12,zero_first,0.0,0.0
breadth_first_most_coverage,4,optimal,6,"[5, 6, 13, 9, 3, 7]",0.080429,63,6,5.0,2026-06-02T12:45:34.198860,40,0,12,lp_guided,0.0,0.0
breadth_first_most_coverage,4,optimal,6,"[5, 6, 13, 9, 3, 7]",0.081397,63,6,5.0,2026-06-02T12:45:34.280285,40,0,12,three_way,0.0,0.0
best_first_most_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.430301,209,7,5.5,2026-06-02T12:45:34.711144,148,0,31,zero_first,0.0,0.0
best_first_most_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.482014,209,7,5.5,2026-06-02T12:45:35.193461,148,0,31,lp_guided,0.0,0.0
best_first_most_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.492974,209,7,5.5,2026-06-02T12:45:35.686478,148,0,31,three_way,0.0,0.0
best_first_first_fractional,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.341375,197,7,5.5,2026-06-02T12:45:36.028228,126,0,36,zero_first,0.0,0.0
best_first_first_fractional,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.34686,197,7,5.5,2026-06-02T12:45:36.375281,126,0,36,lp_guided,0.0,0.0
best_first_first_fractional,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.361169,197,7,5.5,2026-06-02T12:45:36.736347,126,0,36,three_way,0.0,0.0
best_first_least_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.386739,233,7,5.5,2026-06-02T12:45:37.124154,108,0,63,zero_first,0.0,0.0
best_first_least_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.694855,233,7,5.5,2026-06-02T12:45:37.818368,108,0,63,lp_guided,0.0,0.0
best_first_least_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.440427,233,7,5.5,2026-06-02T12:45:38.260070,108,0,63,three_way,0.0,0.0
best_first_most_coverage,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.067866,39,7,5.5,2026-06-02T12:45:38.328209,16,0,12,zero_first,0.0,0.0
best_first_most_coverage,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.060013,39,7,5.5,2026-06-02T12:45:38.388734,16,0,12,lp_guided,0.0,0.0
best_first_most_coverage,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.057155,39,7,5.5,2026-06-02T12:45:38.445412,16,0,12,three_way,0.0,0.0
depth_first_most_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.337257,209,7,5.5,2026-06-02T12:45:38.783492,148,0,31,zero_first,0.0,0.0
depth_first_most_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.340776,209,7,5.5,2026-06-02T12:45:39.124386,148,0,31,lp_guided,0.0,0.0
depth_first_most_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.330801,209,7,5.5,2026-06-02T12:45:39.454890,148,0,31,three_way,0.0,0.0
depth_first_first_fractional,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.305287,197,7,5.5,2026-06-02T12:45:39.760939,126,0,36,zero_first,0.0,0.0
depth_first_first_fractional,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.306599,197,7,5.5,2026-06-02T12:45:40.068067,126,0,36,lp_guided,0.0,0.0
depth_first_first_fractional,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.314103,197,7,5.5,2026-06-02T12:45:40.382462,126,0,36,three_way,0.0,0.0
depth_first_least_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.40238,233,7,5.5,2026-06-02T12:45:40.784770,108,0,63,zero_first,0.0,0.0
depth_first_least_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.606332,233,7,5.5,2026-06-02T12:45:41.392009,108,0,63,lp_guided,0.0,0.0
depth_first_least_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.428107,233,7,5.5,2026-06-02T12:45:41.820701,108,0,63,three_way,0.0,0.0
depth_first_most_coverage,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.065172,39,7,5.5,2026-06-02T12:45:41.885990,16,0,12,zero_first,0.0,0.0
depth_first_most_coverage,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.065016,39,7,5.5,2026-06-02T12:45:41.950754,16,0,12,lp_guided,0.0,0.0
depth_first_most_coverage,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.076507,39,7,5.5,2026-06-02T12:45:42.027687,16,0,12,three_way,0.0,0.0
breadth_first_most_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.369933,209,7,5.5,2026-06-02T12:45:42.398253,148,0,31,zero_first,0.0,0.0
breadth_first_most_constrained,5,optimal,7,"[12, 7, 17, 11, 6, 0, 5]",0.378747,209,7,5.5,2026-06-02T12:45:42.777498,148,0,31,lp_guided,0.0,0.0
